date,fnox_stars,sops_stars
2025-10-20,47,19716
2025-10-21,66,19723
2025-10-22,89,19737
2025-10-23,99,19744
2025-10-24,109,19750
2025-10-25,115,19756
2025-10-26,140,19765
2025-10-27,296,19777
2025-10-28,457,19785
2025-10-29,502,19796
2025-10-30,539,19807
2025-10-31,562,19816
2025-11-01,573,19822
2025-11-02,582,19828
2025-11-03,594,19836
2025-11-04,603,19843
2025-11-05,609,19851
2025-11-06,618,19856
2025-11-07,622,19866
2025-11-08,627,19873
2025-11-09,632,19875
2025-11-10,636,19882
2025-11-11,642,19897
2025-11-12,648,19900
2025-11-13,652,19906
2025-11-14,657,19915
2025-11-15,659,19920
2025-11-16,661,19925
2025-11-17,664,19933
2025-11-18,673,19945
2025-11-19,677,19956
2025-11-20,696,19966
2025-11-21,703,19973
2025-11-22,706,19979
2025-11-23,710,19987
2025-11-24,713,19992
2025-11-25,722,20003
2025-11-26,732,20017
2025-11-27,739,20028
2025-11-28,759,20038
2025-11-29,765,20048
2025-11-30,768,20053
2025-12-01,768,20060
2025-12-02,777,20071
2025-12-03,778,20085
2025-12-04,781,20100
2025-12-05,786,20110
2025-12-06,790,20122
2025-12-07,790,20128
2025-12-08,806,20143
2025-12-09,815,20155
2025-12-10,820,20164
2025-12-11,823,20176
2025-12-12,826,20183
2025-12-13,829,20192
2025-12-14,831,20195
2025-12-15,832,20212
2025-12-16,834,20227
2025-12-17,839,20237
2025-12-18,842,20244
2025-12-19,846,20254
2025-12-20,847,20263
2025-12-21,847,20273
2025-12-22,851,20283
2025-12-23,853,20290
2025-12-24,856,20299
2025-12-25,859,20304
2025-12-26,861,20309
2025-12-27,862,20317
2025-12-28,865,20327
2025-12-29,867,20333
2025-12-30,872,20340
2025-12-31,877,20344
2026-01-01,878,20348
2026-01-02,880,20357
2026-01-03,885,20368
2026-01-04,893,20377
2026-01-05,897,20387
2026-01-06,899,20398
2026-01-07,905,20408
2026-01-08,906,20418
2026-01-09,908,20424
2026-01-10,960,20431
2026-01-11,976,20441
2026-01-12,986,20456
2026-01-13,991,20464
2026-01-14,997,20477
2026-01-15,1001,20493
2026-01-16,1005,20519
2026-01-17,1011,20534
2026-01-18,1024,20549
2026-01-19,1034,20560
2026-01-20,1043,20574
2026-01-21,1048,20580
2026-01-22,1054,20588
2026-01-23,1068,20593
2026-01-24,1082,20599
2026-01-25,1086,20602
2026-01-26,1090,20616
2026-01-27,1095,20629
2026-01-28,1095,20629
